iter	Passed	Remaining
0	61	1173
1	64	576
2	65	372
3	67	270
4	69	208
5	71	165
6	72	134
7	74	111
8	75	92
9	78	78
10	79	65
11	80	53
12	82	44
13	84	36
14	85	28
15	87	21
16	88	15
17	90	10
18	91	4
19	92	0
